,subject,day,session,left_dots,right_dots,optout_type,response,accuracy,RT,block,difficulty,score
254,2,1,2,50,52,deterministic,optout,False,1072.7050000004965,deterministic_optout,3.0,2.0
255,2,1,2,50,56,deterministic,left,1,895.8949999996548,deterministic_optout,2.0,3.0
256,2,1,2,64,50,deterministic,right,1,641.3599999996222,deterministic_optout,0.0,3.0
257,2,1,2,64,50,deterministic,optout,False,802.6599999993778,deterministic_optout,0.0,2.0
258,2,1,2,50,64,none,left,1,941.6149999997288,deterministic_optout,0.0,3.0
259,2,1,2,64,50,none,right,1,615.6899999987218,deterministic_optout,0.0,3.0
260,2,1,2,56,50,deterministic,optout,False,877.2500000013679,deterministic_optout,2.0,2.0
261,2,1,2,56,50,deterministic,optout,False,846.01499999917,deterministic_optout,2.0,2.0
262,2,1,2,50,52,deterministic,optout,False,927.9400000013992,deterministic_optout,3.0,2.0
263,2,1,2,60,50,none,right,0,1502.8849999998783,deterministic_optout,1.0,0.0
264,2,1,2,64,50,none,right,1,644.2849999984901,deterministic_optout,0.0,3.0
265,2,1,2,64,50,deterministic,right,1,688.944999999876,deterministic_optout,0.0,3.0
266,2,1,2,50,52,deterministic,left,1,747.2850000012841,deterministic_optout,3.0,3.0
267,2,1,2,50,64,deterministic,left,1,747.7149999995163,deterministic_optout,0.0,3.0
268,2,1,2,50,60,none,left,1,641.7500000006839,deterministic_optout,1.0,3.0
269,2,1,2,64,50,deterministic,optout,False,1359.9649999996473,deterministic_optout,0.0,2.0
270,2,1,2,64,50,none,right,1,664.7599999996601,deterministic_optout,0.0,3.0
271,2,1,2,52,50,none,right,0,649.7199999994336,deterministic_optout,3.0,0.0
272,2,1,2,50,60,deterministic,left,1,631.3000000009197,deterministic_optout,1.0,3.0
273,2,1,2,56,50,deterministic,optout,False,727.0000000007713,deterministic_optout,2.0,2.0
274,2,1,2,50,60,none,left,1,1766.5049999995972,deterministic_optout,1.0,3.0
275,2,1,2,52,50,none,right,1,1193.9599999986967,deterministic_optout,3.0,3.0
276,2,1,2,52,50,deterministic,optout,False,866.7100000002392,deterministic_optout,3.0,2.0
277,2,1,2,60,50,none,right,1,1055.9850000008737,deterministic_optout,1.0,3.0
278,2,1,2,50,56,none,left,1,782.9399999991438,deterministic_optout,2.0,3.0
279,2,1,2,50,56,deterministic,optout,False,858.7900000002264,deterministic_optout,2.0,2.0
280,2,1,2,56,50,none,right,1,818.5200000007171,deterministic_optout,2.0,3.0
281,2,1,2,50,64,deterministic,left,1,639.0549999996438,deterministic_optout,0.0,3.0
282,2,1,2,52,50,deterministic,optout,False,826.1849999998958,deterministic_optout,3.0,2.0
283,2,1,2,60,50,deterministic,right,1,641.4299999996729,deterministic_optout,1.0,3.0
284,2,1,2,56,50,none,right,0,884.1350000002421,deterministic_optout,2.0,0.0
285,2,1,2,50,64,deterministic,left,1,697.58499999989,deterministic_optout,0.0,3.0
286,2,1,2,64,50,deterministic,right,1,540.1649999985239,deterministic_optout,0.0,3.0
287,2,1,2,52,50,none,right,0,747.9000000002998,deterministic_optout,3.0,0.0
288,2,1,2,50,64,deterministic,left,1,690.3549999988172,deterministic_optout,0.0,3.0
289,2,1,2,56,50,none,right,0,899.1249999999127,deterministic_optout,2.0,0.0
290,2,1,2,56,50,deterministic,optout,False,1484.3999999993684,deterministic_optout,2.0,2.0
291,2,1,2,56,50,deterministic,optout,False,1033.5099999992965,deterministic_optout,2.0,2.0
292,2,1,2,60,50,deterministic,optout,False,889.8349999999482,deterministic_optout,1.0,2.0
293,2,1,2,50,64,deterministic,left,1,606.035000000702,deterministic_optout,0.0,3.0
294,2,1,2,60,50,deterministic,optout,False,856.3849999991362,deterministic_optout,1.0,2.0
295,2,1,2,60,50,deterministic,right,1,546.3850000014645,deterministic_optout,1.0,3.0
296,2,1,2,50,56,deterministic,left,1,726.0749999986729,deterministic_optout,2.0,3.0
297,2,1,2,52,50,deterministic,optout,False,875.6950000006327,deterministic_optout,3.0,2.0
298,2,1,2,64,50,deterministic,optout,False,926.4400000010936,deterministic_optout,0.0,2.0
